762.1845,More than Upper Bound 219.6825
-288.765,Less Than Lower Bound -126.1455
919.971,More than Upper Bound 219.6825
-96.54,-96.54
311.52,More than Upper Bound 219.6825
763.275,More than Upper Bound 219.6825
564.84,More than Upper Bound 219.6825
996.48,More than Upper Bound 219.6825
1906.485,More than Upper Bound 219.6825
-1862.3124,Less Than Lower Bound -126.1455
83.281,83.281
647.55,More than Upper Bound 219.6825
1151.4,More than Upper Bound 219.6825
622.02,More than Upper Bound 219.6825
1036.08,More than Upper Bound 219.6825
186.948,186.948
517.4793,More than Upper Bound 219.6825
3979.08,More than Upper Bound 219.6825
28.404,28.404
818.28,More than Upper Bound 219.6825
276.84,More than Upper Bound 219.6825
341.994,More than Upper Bound 219.6825
358.02,More than Upper Bound 219.6825
1898.4,More than Upper Bound 219.6825
445.52,More than Upper Bound 219.6825
526.496,More than Upper Bound 219.6825
720.36,More than Upper Bound 219.6825
1364.238,More than Upper Bound 219.6825
363.9048,More than Upper Bound 219.6825
582.36,More than Upper Bound 219.6825
-148.46,Less Than Lower Bound -126.1455
763.155,More than Upper Bound 219.6825
-350.49,Less Than Lower Bound -126.1455
561.48,More than Upper Bound 219.6825
135.4068,135.4068
1068.66,More than Upper Bound 219.6825
1371.9804,More than Upper Bound 219.6825
-3839.9904,Less Than Lower Bound -126.1455
1697.67,More than Upper Bound 219.6825
511.095,More than Upper Bound 219.6825
-77.2038,-77.2038
632.52,More than Upper Bound 219.6825
2097.03,More than Upper Bound 219.6825
404.73,More than Upper Bound 219.6825
377.244,More than Upper Bound 219.6825
4630.4755,More than Upper Bound 219.6825
720.75,More than Upper Bound 219.6825
110.34,110.34
500.01,More than Upper Bound 219.6825
868.12,More than Upper Bound 219.6825
1143.891,More than Upper Bound 219.6825
527.04,More than Upper Bound 219.6825
839.986,More than Upper Bound 219.6825
153.75,153.75
593.88,More than Upper Bound 219.6825
732.72,More than Upper Bound 219.6825
1480.4671,More than Upper Bound 219.6825
226.86,More than Upper Bound 219.6825
1164.267,More than Upper Bound 219.6825
327.5922,More than Upper Bound 219.6825
581.91,More than Upper Bound 219.6825
2229.024,More than Upper Bound 219.6825
313.11,More than Upper Bound 219.6825
225.18,More than Upper Bound 219.6825
656.37,More than Upper Bound 219.6825
694.5015,More than Upper Bound 219.6825
1050.15,More than Upper Bound 219.6825
652.92,More than Upper Bound 219.6825
119.28,119.28
130.08,130.08
1055.25,More than Upper Bound 219.6825
121.94,121.94
1523.52,More than Upper Bound 219.6825
-452.8104,Less Than Lower Bound -126.1455
38.07,38.07
858.9,More than Upper Bound 219.6825
3177.475,More than Upper Bound 219.6825
728.7,More than Upper Bound 219.6825
1183.95,More than Upper Bound 219.6825
91.95,91.95
63.546,63.546
2597.28,More than Upper Bound 219.6825
2504.2216,More than Upper Bound 219.6825
